project_id,sov_line_id,estimated_labor_hours,estimated_labor_cost,estimated_material_cost,estimated_equipment_cost,estimated_sub_cost,productivity_factor,key_assumptions
PRJ-2024-001,PRJ-2024-001-SOV-01,18834,1187400,806300,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2024-001,PRJ-2024-001-SOV-02,6501,409800,234200,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2024-001,PRJ-2024-001-SOV-03,28931,1824100,935100,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2024-001,PRJ-2024-001-SOV-04,38975,2457300,1054400,0,0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2024-001,PRJ-2024-001-SOV-05,34261,2160100,925300,0,0,0.9,Copper pricing based on current market rates
PRJ-2024-001,PRJ-2024-001-SOV-06,23525,1483200,536700,0,0,0.9,Refrigerant pricing per current market; lineset routing direct
PRJ-2024-001,PRJ-2024-001-SOV-07,16380,1032700,0,4228900,0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2024-001,PRJ-2024-001-SOV-08,15497,977000,0,2605700,0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2024-001,PRJ-2024-001-SOV-09,7265,458000,0,1819500,0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2024-001,PRJ-2024-001-SOV-10,25282,1594000,945300,0,0,0.85,DDC installation per controls contractor scope; point count per I/O schedule
PRJ-2024-001,PRJ-2024-001-SOV-11,18443,1162800,655400,0,0,0.9,Programming based on approved sequences; 2 weeks for commissioning
PRJ-2024-001,PRJ-2024-001-SOV-12,20792,1310900,0,0,1449900,1.0,Insulation by specialty sub; pricing based on current bid
PRJ-2024-001,PRJ-2024-001-SOV-13,7741,488000,0,0,609400,1.0,TAB by certified balancing contractor; one mobilization assumed
PRJ-2024-001,PRJ-2024-001-SOV-14,7352,463500,255400,0,0,0.95,Startup includes 2 weeks of system commissioning support
PRJ-2024-001,PRJ-2024-001-SOV-15,4555,287100,163800,0,0,1.0,"Closeout includes as-builts, O&M manuals, and owner training"
